UserId,Condition,Scenario,Direction,TimeStamp,Resistance,DtInMs,ConWPosX,ConWPosY,ConWPosZ,ConPosX,ConPosY,ConPosZ,ConRotX,ConRotY,ConRotZ,IsHit,DotId,HitPosX,HitPosY,HitPosZ,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,EyeOriginX,EyeOriginY,EyeOriginZ,EyeDirectionX,EyeDirectionY,EyeDirectionZ,EyeHitPosX,EyeHitPosY,label
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:58.50,26636.84,26.18,1.321417,0.8679792,-0.9656875,-0.8778003,0.8679792,-0.154653,271.2137,301.3339,139.7068,TRUE,16,1.322071,1.002105,-0.9664779,1.827768,1.105213,-1.054121,358.2215,266.977,354.4315,1.866745,1.107058,-1.066225,-0.9819292,-0.1603594,0.100342,0.5752174,0.8235489,3
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:59.51,27557.32,27.2,1.33572,0.8682788,-0.946844,-0.8633112,0.8682788,-0.1359526,271.1694,300.6796,137.6615,TRUE,15,1.336683,1.002468,-0.9477865,1.833441,1.104455,-1.044228,359.1425,269.46,352.8438,1.872361,1.107701,-1.057955,-0.9791801,-0.160694,0.123998,0.5950533,0.816205,3
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:59:00.43,29580.51,28.12,1.358286,0.8686949,-0.9352444,-0.8406309,0.8686949,-0.124578,271.0936,299.1469,138.9326,TRUE,14,1.358641,1.002803,-0.9357205,1.843582,1.104449,-1.035497,359.0449,271.8365,352.549,1.881049,1.107463,-1.051044,-0.9740518,-0.1663584,0.1533916,0.6136284,0.762679,3
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:59:01.34,30099.52,29.03,1.373496,0.8684189,-0.9189665,-0.8252591,0.8684189,-0.1084521,271.0531,297.1041,140.3508,TRUE,13,1.374206,1.003278,-0.9196514,1.850359,1.102219,-1.026072,359.8043,275.1071,352.2469,1.887637,1.107824,-1.060252,-0.9792151,-0.1566748,0.1287633,0.5975629,0.8188661,3
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:59:02.09,31834.74,29.78,1.394885,0.8690152,-0.9037802,-0.8037206,0.8690152,-0.09347916,271.0605,297.5168,139.9686,TRUE,12,1.39579,1.003038,-0.9044595,1.855053,1.100288,-1.016461,0.3513804,277.4428,351.7253,1.891623,1.104666,-1.034974,-0.9705724,-0.1594858,0.1803529,0.642386,0.7569151,3
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:59:04.08,35061.66,31.77,1.429927,0.8683248,-0.8969648,-0.7686123,0.8683248,-0.08701253,270.9756,301.1327,140.1208,TRUE,11,1.431293,1.002885,-0.8971713,1.862283,1.098176,-1.008495,1.478798,279.3475,353.3558,1.899305,1.103,-1.02773,-0.9678804,-0.1607771,0.1932211,0.6527058,0.7194979,3
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:59:04.82,35349.33,32.5,1.440852,0.8685916,-0.8980952,-0.7576993,0.8685916,-0.08825147,270.9824,303.7564,139.1844,TRUE,10,1.441892,1.002012,-0.8986588,1.862332,1.098073,-1.008763,1.534516,279.5471,353.6138,1.899405,1.102996,-1.028437,-0.9669647,-0.1669925,0.1925482,0.6480905,0.6843532,2
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:59:05.92,40930.78,33.6,1.465639,0.8690706,-0.9056137,-0.7329887,0.8690706,-0.09601605,270.8202,297.4147,150.0459,TRUE,9,1.466655,1.002331,-0.9062879,1.867899,1.098113,-1.009833,1.206164,280.3109,354.7676,1.904249,1.101879,-1.029073,-0.9623286,-0.1778477,0.2056289,0.6467453,0.6097983,2
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:59:06.64,47384.79,34.33,1.490318,0.8693657,-0.9011588,-0.7082663,0.8693657,-0.09180677,270.774,293.443,156.8907,TRUE,8,1.491024,1.002217,-0.9014806,1.869875,1.098287,-1.009586,1.099642,280.5826,354.7299,1.905894,1.102126,-1.028837,-0.9601203,-0.1828853,0.2114377,0.647173,0.5849995,2
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:59:07.35,55617.51,35.04,1.510991,0.8694957,-0.9118139,-0.6877,0.8694957,-0.1026669,270.7133,306.2679,148.1671,TRUE,7,1.511634,1.00171,-0.9117478,1.870013,1.098068,-1.008102,1.373695,280.5358,354.5617,1.905882,1.101971,-1.027406,-0.9589179,-0.2081588,0.1926641,0.6293935,0.4868237,2
